file,method,label,source,difficulty,sampler_think,temp_think,sampler_code,temp_code,top_p,top_k,alpha,max_tokens,n_tasks,n_samples,completion_rate,truncation_rate,malformed_rate,near_cap_rate,mean_think_tokens,median_think_tokens,p90_think_tokens,mean_think_tokens_completed,median_think_tokens_completed,mean_think_chars,conditional_correctness,pass@1,pass@5,pass@10,cov@0.3,cov@0.5
pless_alpha_think_t1.0_a3.0_t1.0.jsonl,pless_alpha,pless_alpha a3.0 (t1.0),ATCODER,interview,pless_alpha a3.0 (t1.0),1.0,pless_alpha a3.0 (t1.0),1.0,1.0,0,3.0,32768,252,2520,0.973015873015873,0.026984126984126985,0.0,0.026984126984126985,11495.452380952382,9757.0,20716,10905.538743882546,9501.5,39614.462698412695,0.6945350734094616,0.6757936507936508,0.7903754094230285,0.8055555555555556,77.38095238095238,73.01587301587301
pless_alpha_think_t1.0_a4.0_t1.0.jsonl,pless_alpha,pless_alpha a4.0 (t1.0),ATCODER,interview,pless_alpha a4.0 (t1.0),1.0,pless_alpha a4.0 (t1.0),1.0,1.0,0,4.0,32768,252,2520,0.9861111111111112,0.013888888888888888,0.0,0.013888888888888888,11279.166666666666,9820.5,20257,10976.52152917505,9677,38877.34642857143,0.7058350100603622,0.6960317460317459,0.8056342907533384,0.8214285714285714,78.17460317460318,74.60317460317461
pless_alpha_think_t1.0_a5.0_t1.0.jsonl,pless_alpha,pless_alpha a5.0 (t1.0),ATCODER,interview,pless_alpha a5.0 (t1.0),1.0,pless_alpha a5.0 (t1.0),1.0,1.0,0,5.0,32768,252,2520,0.9936507936507937,0.006349206349206349,0.0,0.006746031746031746,11123.77619047619,9645.5,20338,10985.480830670927,9600.0,38361.18373015873,0.6904952076677316,0.6861111111111111,0.8034611992945326,0.8333333333333334,76.98412698412699,74.60317460317461
pless_think_t2.0_t2.0.jsonl,pless,pless (t2.0),ATCODER,interview,pless (t2.0),2.0,pless (t2.0),2.0,1.0,0,,32768,252,2520,0.998015873015873,0.001984126984126984,0.0,0.002380952380952381,11027.007936507936,9796.5,19782,10983.78727634195,9749,38051.64523809524,0.6954274353876739,0.6940476190476189,0.8043745275888133,0.8214285714285714,78.17460317460318,73.01587301587301
