file,method,label,source,difficulty,sampler_think,temp_think,sampler_code,temp_code,top_p,top_k,alpha,max_tokens,n_tasks,n_samples,completion_rate,truncation_rate,malformed_rate,near_cap_rate,mean_think_tokens,median_think_tokens,p90_think_tokens,mean_think_tokens_completed,median_think_tokens_completed,mean_think_chars,conditional_correctness,pass@1,pass@5,pass@10,cov@0.3,cov@0.5
pless_norm_think_t0.6_t0.6.jsonl,pless_norm,pless_norm (t0.6),ATCODER,interview,pless_norm (t0.6),0.6,pless_norm (t0.6),0.6,1.0,0,,32768,252,2520,0.8162698412698413,0.18373015873015874,0.0,0.18452380952380953,14149.163095238095,10206.5,32767,9958.565872630044,8656,49612.58888888889,0.7588721438988819,0.6194444444444446,0.7809271856890905,0.8055555555555556,75.39682539682539,69.04761904761905
pless_think_t0.6_t0.6.jsonl,pless,pless (t0.6),ATCODER,interview,pless (t0.6),0.6,pless (t0.6),0.6,1.0,0,,32768,252,2520,0.8103174603174603,0.18968253968253967,0.0,0.19007936507936507,14303.880555555555,10458.0,32767,9981.95347698335,8766.5,50346.705555555556,0.7595494613124388,0.6154761904761904,0.7932728647014362,0.8253968253968254,75.39682539682539,66.26984126984127
temp_k20_think_t0.6_t0.6.jsonl,temp,temp 0.6 (top_k 20),ATCODER,interview,temp 0.6 (top_k 20),0.6,temp 0.6 (top_k 20),0.6,1.0,20,,32768,252,2520,0.9920634920634921,0.007936507936507936,0.0,0.00873015873015873,11248.263888888889,9592.0,20440,11076.1136,9565.0,38819.59563492063,0.704,0.6984126984126984,0.8043430335097003,0.8214285714285714,78.57142857142857,73.01587301587301
temp_p0.95_think_t0.6_t0.6.jsonl,temp,temp 0.6 (top_p 0.95),ATCODER,interview,temp 0.6 (top_p 0.95),0.6,temp 0.6 (top_p 0.95),0.6,0.95,0,,32768,252,2520,0.9876984126984127,0.012301587301587301,0.0,0.012698412698412698,11252.711111111112,9625.5,20401,10984.754921655283,9553,38681.948015873015,0.7038971474487746,0.6952380952380952,0.8116181657848325,0.8412698412698413,77.38095238095238,73.01587301587301
