file,method,label,source,difficulty,sampler_think,temp_think,sampler_code,temp_code,top_p,top_k,alpha,max_tokens,n_tasks,n_samples,completion_rate,truncation_rate,malformed_rate,near_cap_rate,mean_think_tokens,median_think_tokens,p90_think_tokens,mean_think_tokens_completed,median_think_tokens_completed,mean_think_chars,conditional_correctness,pass@1,pass@5,pass@10,cov@0.3,cov@0.5
pless_norm_t1.0.jsonl.gz,pless_norm,pless_norm (t1.0),ATCODER,interview,pless_norm (t1.0),1.0,pless_norm (t1.0),1.0,1.0,0,,8192,252,2520,0.998015873015873,0.0007936507936507937,0.0011904761904761906,0.0007936507936507937,339.8646825396825,320.0,428,333.61669980119285,320,1362.0440476190477,0.11133200795228629,0.1111111111111111,0.20463277903754093,0.24206349206349206,15.079365079365079,10.317460317460316
pless_t1.0.jsonl.gz,pless,pless (t1.0),ATCODER,interview,pless (t1.0),1.0,pless (t1.0),1.0,1.0,0,,8192,252,2520,0.9984126984126984,0.0007936507936507937,0.0007936507936507937,0.0007936507936507937,341.156746031746,319.0,427,334.90659777424486,319.0,1359.7555555555555,0.11724960254372019,0.11706349206349206,0.20349899218946838,0.23809523809523808,15.476190476190476,11.507936507936508
temp_p0.8_k20_rp1.1_t0.7.jsonl.gz,temp,temp 0.7 (top_p 0.8 + top_k 20),ATCODER,interview,temp 0.7 (top_p 0.8 + top_k 20),0.7,temp 0.7 (top_p 0.8 + top_k 20),0.7,0.8,20,,8192,252,2520,1.0,0.0,0.0,0.0,321.9031746031746,311.0,418,321.9031746031746,311.0,1321.4928571428572,0.09365079365079365,0.09365079365079365,0.2071995464852608,0.25396825396825395,13.88888888888889,9.126984126984127
temp_p0.95_t0.2.jsonl.gz,temp,temp 0.2 (top_p 0.95),ATCODER,interview,temp 0.2 (top_p 0.95),0.2,temp 0.2 (top_p 0.95),0.2,0.95,0,,8192,252,2520,0.996031746031746,0.0011904761904761906,0.002777777777777778,0.0011904761904761906,342.59801587301587,320.0,427,333.21474103585655,319.0,1374.85,0.10836653386454183,0.10793650793650793,0.20708931720836482,0.24603174603174602,16.26984126984127,10.317460317460316
temp_t0.8.jsonl.gz,temp,temp 0.8 (unfiltered),ATCODER,interview,temp 0.8 (unfiltered),0.8,temp 0.8 (unfiltered),0.8,1.0,0,,8192,252,2520,0.9904761904761905,0.0007936507936507937,0.00873015873015873,0.0,340.14642857142854,327.0,443,340.03725961538464,327.0,1354.4650793650794,0.09775641025641026,0.09682539682539681,0.218442932728647,0.2777777777777778,14.682539682539684,7.936507936507936
