file,method,label,source,difficulty,sampler_think,temp_think,sampler_code,temp_code,top_p,top_k,alpha,max_tokens,n_tasks,n_samples,completion_rate,truncation_rate,malformed_rate,near_cap_rate,mean_think_tokens,median_think_tokens,p90_think_tokens,mean_think_tokens_completed,median_think_tokens_completed,mean_think_chars,conditional_correctness,pass@1,pass@5,pass@10,cov@0.3,cov@0.5
pless_alpha_think_t1.0_a3.0_t1.0.jsonl,pless_alpha,pless_alpha a3.0 (t1.0),ATCODER,interview,pless_alpha a3.0 (t1.0),1.0,pless_alpha a3.0 (t1.0),1.0,1.0,0,3.0,32768,27,270,0.9851851851851852,0.014814814814814815,0.0,0.014814814814814815,12145.68888888889,10889.5,19799,11835.593984962406,10777.0,39782.503703703704,0.7669172932330827,0.7555555555555555,0.9188712522045855,0.9259259259259259,92.5925925925926,81.48148148148148
pless_alpha_think_t1.0_a4.0_t1.0.jsonl,pless_alpha,pless_alpha a4.0 (t1.0),ATCODER,interview,pless_alpha a4.0 (t1.0),1.0,pless_alpha a4.0 (t1.0),1.0,1.0,0,4.0,32768,27,270,1.0,0.0,0.0,0.0,12148.87037037037,10619.0,19109,12148.87037037037,10619.0,40345.57777777778,0.7888888888888889,0.7888888888888888,0.9594356261022928,0.9629629629629629,96.29629629629629,92.5925925925926
pless_alpha_think_t1.0_a5.0_t1.0.jsonl,pless_alpha,pless_alpha a5.0 (t1.0),ATCODER,interview,pless_alpha a5.0 (t1.0),1.0,pless_alpha a5.0 (t1.0),1.0,1.0,0,5.0,32768,27,270,0.9962962962962963,0.003703703703703704,0.0,0.003703703703703704,11772.625925925926,10074.0,19738,11694.579925650558,10060,38731.12222222222,0.8066914498141264,0.8037037037037037,0.9889770723104058,1.0,96.29629629629629,85.18518518518519
pless_think_t1.0_t1.0.jsonl,pless,pless (t1.0),ATCODER,interview,pless (t1.0),1.0,pless (t1.0),1.0,1.0,0,,32768,27,270,0.825925925925926,0.17407407407407408,0.0,0.17407407407407408,15679.625925925926,13071.0,32767,12078.251121076233,10998,51569.25555555556,0.7757847533632287,0.6407407407407407,0.9351851851851852,0.9629629629629629,92.5925925925926,74.07407407407408
pless_think_t1.5_t1.5.jsonl,pless,pless (t1.5),ATCODER,interview,pless (t1.5),1.5,pless (t1.5),1.5,1.0,0,,32768,27,270,0.9185185185185185,0.08148148148148149,0.0,0.08148148148148149,13796.633333333333,10837.5,24826,12113.77822580645,10404.0,45253.17407407407,0.7701612903225806,0.7074074074074074,0.9537037037037037,1.0,88.88888888888889,85.18518518518519
pless_think_t2.0_t2.0.jsonl,pless,pless (t2.0),ATCODER,interview,pless (t2.0),2.0,pless (t2.0),2.0,1.0,0,,32768,27,270,0.9925925925925926,0.007407407407407408,0.0,0.007407407407407408,12072.066666666668,10764.0,19153,11917.626865671642,10730.0,39468.166666666664,0.7985074626865671,0.7925925925925924,0.9542915931804821,1.0,88.88888888888889,88.88888888888889
