file,method,label,source,difficulty,sampler_think,temp_think,sampler_code,temp_code,top_p,top_k,alpha,max_tokens,n_tasks,n_samples,completion_rate,truncation_rate,malformed_rate,near_cap_rate,mean_think_tokens,median_think_tokens,p90_think_tokens,mean_think_tokens_completed,median_think_tokens_completed,mean_think_chars,conditional_correctness,pass@1,pass@5,pass@10,cov@0.3,cov@0.5
pless_norm_t1.0.jsonl,pless_norm,pless_norm (t1.0),ATCODER,interview,pless_norm (t1.0),1.0,pless_norm (t1.0),1.0,1.0,0,,8192,252,2520,0.9992063492063492,0.0007936507936507937,0.0,0.0007936507936507937,325.6531746031746,299.0,454,319.40508339952345,299.0,1301.4222222222222,0.05877680698967434,0.05873015873015872,0.10923721340388007,0.1349206349206349,7.5396825396825395,6.349206349206349
pless_t1.0.jsonl,pless,pless (t1.0),ATCODER,interview,pless (t1.0),1.0,pless (t1.0),1.0,1.0,0,,8192,252,2520,0.9972222222222222,0.002777777777777778,0.0,0.002777777777777778,340.1825396825397,299.0,448,318.31118185435736,298,1360.1297619047618,0.055312375646637484,0.05515873015873016,0.11413454270597129,0.1349206349206349,7.5396825396825395,5.952380952380952
temp_p0.8_k20_rp1.05_t0.7.jsonl,temp,temp 0.7 (top_p 0.8 + top_k 20),ATCODER,interview,temp 0.7 (top_p 0.8 + top_k 20),0.7,temp 0.7 (top_p 0.8 + top_k 20),0.7,0.8,20,,8192,252,2520,1.0,0.0,0.0,0.0,333.9563492063492,319.0,466,333.9563492063492,319.0,1344.4027777777778,0.059126984126984125,0.05912698412698412,0.13169249181153944,0.17063492063492064,8.73015873015873,4.761904761904762
temp_p0.95_t0.2.jsonl,temp,temp 0.2 (top_p 0.95),ATCODER,interview,temp 0.2 (top_p 0.95),0.2,temp 0.2 (top_p 0.95),0.2,0.95,0,,8192,252,2520,0.9992063492063492,0.0007936507936507937,0.0,0.0007936507936507937,325.334126984127,299.0,455,319.0857823669579,299.0,1317.7333333333333,0.06791104050833995,0.06785714285714287,0.12773998488284202,0.15079365079365079,9.523809523809524,6.746031746031746
temp_t0.8.jsonl,temp,temp 0.8 (unfiltered),ATCODER,interview,temp 0.8 (unfiltered),0.8,temp 0.8 (unfiltered),0.8,1.0,0,,8192,252,2520,0.9988095238095238,0.0003968253968253968,0.0007936507936507937,0.0,331.2595238095238,316.0,465,331.2828764402066,316,1340.0535714285713,0.04290822407628129,0.04285714285714285,0.11541005291005291,0.15476190476190477,6.746031746031746,3.1746031746031744
