file,method,label,source,difficulty,sampler_think,temp_think,sampler_code,temp_code,top_p,top_k,alpha,max_tokens,n_tasks,n_samples,completion_rate,truncation_rate,malformed_rate,near_cap_rate,mean_think_tokens,median_think_tokens,p90_think_tokens,mean_think_tokens_completed,median_think_tokens_completed,mean_think_chars,conditional_correctness,pass@1,pass@5,pass@10,cov@0.3,cov@0.5
pless_norm_think_t1.0_t1.0.jsonl,pless_norm,pless_norm (t1.0),ATCODER,introductory,pless_norm (t1.0),1.0,pless_norm (t1.0),1.0,1.0,0,,24576,100,1000,0.639,0.361,0.0,0.137,10159.658,4087.5,24730,2865.790297339593,2192,37856.678,0.6103286384976526,0.391,0.6333730158730159,0.72,51.0,39.0
pless_think_t1.0_t1.0.jsonl,pless,pless (t1.0),ATCODER,introductory,pless (t1.0),1.0,pless (t1.0),1.0,1.0,0,,24576,100,1000,0.63,0.37,0.0,0.149,10376.206,4442.0,24939,2911.7873015873015,2232.0,38615.044,0.6206349206349207,0.39199999999999996,0.6496825396825394,0.74,52.0,41.0
temp_k20_think_t1.0_t1.0.jsonl,temp,temp 1.0 (top_k 20),ATCODER,introductory,temp 1.0 (top_k 20),1.0,temp 1.0 (top_k 20),1.0,1.0,20,,24576,100,1000,0.998,0.002,0.0,0.0,5720.956,4790.5,11714,5731.427855711423,4791.5,21058.428,0.533066132264529,0.534,0.8261111111111111,0.89,72.0,60.0
temp_p0.95_k20_think_t0.6_t0.6.jsonl,temp,temp 0.6 (top_p 0.95 + top_k 20),ATCODER,introductory,temp 0.6 (top_p 0.95 + top_k 20),0.6,temp 0.6 (top_p 0.95 + top_k 20),0.6,0.95,20,,24576,100,1000,0.954,0.046,0.0,0.023,5832.412,3789.5,12475,4946.510482180293,3577.0,21436.73,0.5461215932914046,0.5209999999999999,0.7455555555555554,0.8,68.0,56.00000000000001
temp_p0.95_think_t1.0_t1.0.jsonl,temp,temp 1.0 (top_p 0.95),ATCODER,introductory,temp 1.0 (top_p 0.95),1.0,temp 1.0 (top_p 0.95),1.0,0.95,0,,24576,100,1000,1.0,0.0,0.0,0.0,5342.332,4296.0,11357,5342.332,4296.0,19562.138,0.524,0.524,0.783452380952381,0.86,69.0,60.0
temp_think_t0.6_t0.6.jsonl,temp,temp 0.6 (unfiltered),ATCODER,introductory,temp 0.6 (unfiltered),0.6,temp 0.6 (unfiltered),0.6,1.0,0,,24576,100,1000,0.989,0.011,0.0,0.005,5276.486,3991.0,11125,5065.370070778564,3934,19356.048,0.544994944388271,0.539,0.7822222222222223,0.86,68.0,57.99999999999999
